post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:pa_material,attribute_data:pa_material,attribute_default:pa_material,attribute:pa_metal,attribute_data:pa_metal,attribute_default:pa_metal,attribute:pa_metal-purity,attribute_data:pa_metal-purity,attribute_default:pa_metal-purity,attribute:pa_shape,attribute_data:pa_shape,attribute_default:pa_shape,attribute:pa_style,attribute_data:pa_style,attribute_default:pa_style
"Year of the Tiger Necklace with Black Agate and Diamond",year-of-the-tiger-necklace-with-black-agate-and-diamond,,26735,"Year of the Tiger Necklace
<ul>
 	<li>2022 Chinese New Year collection</li>
 	<li>18k yellow gold</li>
 	<li>Black agate 2.46ct. tw.</li>
 	<li>Mother of Pearl 0.69ct. tw.</li>
 	<li>Round diamond 0.03ct. tw.</li>
</ul>
Style: P33168KY18AB001","<p><br data-mce-bogus=""1""></p>",publish,,433,"2022-01-19 15:21:54",1,closed,P33168KY18AB001,,,no,no,,500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/01/P33168KY18AB001.jpg ! alt : 2022 year of the tiger gold diamond necklace ! title : P33168KY18AB001 ! desc :  ! caption : 2022 year of the tiger gold diamond necklace | https://eji.com.hk/wp-content/uploads/2022/01/P33168KY18AB001-side-scaled.jpg ! alt : 2022 year of the tiger gold diamond necklace ! title : P33168KY18AB001-side ! desc :  ! caption : 2022 year of the tiger gold diamond necklace | https://eji.com.hk/wp-content/uploads/2022/01/P33168KY18AB001-scale.jpg ! alt : 2022 year of the tiger gold diamond necklace ! title : P33168KY18AB001-scale ! desc :  ! caption : 2022 year of the tiger gold diamond necklace",,https://eji.com.hk/product/year-of-the-tiger-necklace-with-black-agate-and-diamond/,simple,,"Necklaces & Pendants > Diamond Necklaces|Necklaces & Pendants > Gemstone Necklaces|Necklaces & Pendants","CNY|Year of the Tiger",,"Black Agate|Diamond|Mother of Pearl",0|1|0,,,,,,,,,,,,,
"Year of the Tiger Necklace with Black Agate, Sapphire Diamond",year-of-the-tiger-necklace-with-black-agate-sapphire-diamond,,26742,"Year of the Tiger Necklace
<ul>
 	<li>2022 Chinese New Year collection</li>
 	<li>18k white gold</li>
 	<li>Black agate 2.46ct. tw.</li>
 	<li>Sapphire 0.08ct. tw.</li>
 	<li>Round diamond 0.01ct. tw.</li>
</ul>
Style: P33168KY18AB001",,publish,,434,"2022-01-19 15:22:02",1,closed,P33168KY18AB001-1,,,no,no,,500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/01/P33167KW18AB001.jpg ! alt : 2022 year of the tiger diamond necklace in 18k white gold ! title : P33167KW18AB001 ! desc :  ! caption : 2022 year of the tiger diamond necklace in 18k white gold | https://eji.com.hk/wp-content/uploads/2022/01/P33167KW18AB001-side-scaled.jpg ! alt : 2022 year of the tiger diamond necklace in 18k white gold ! title : P33167KW18AB001-side ! desc :  ! caption : 2022 year of the tiger diamond necklace in 18k white gold | https://eji.com.hk/wp-content/uploads/2022/01/P33167KW18AB001-scale.jpg ! alt : 2022 year of the tiger diamond necklace in 18k white gold ! title : P33167KW18AB001-scale ! desc :  ! caption : 2022 year of the tiger diamond necklace in 18k white gold",,https://eji.com.hk/product/year-of-the-tiger-necklace-with-black-agate-sapphire-diamond/,simple,,"Necklaces & Pendants > Diamond Necklaces|Necklaces & Pendants > Gemstone Necklaces|Necklaces & Pendants","CNY|Year of the Tiger",,"Black Agate|Diamond|Mother of Pearl",0|1|0,,,,,,,,,,,,,
"Aquarius Necklace in 18K Rose Gold in Diamond and Green Garnet",aquarius-necklace-in-18k-rose-gold-in-diamond-and-green-garnet,,26758,"Aquarius Necklace from the Zodiac Collection
<ul>
 	<li>750 gold</li>
 	<li>Diamond</li>
 	<li>Green garnet</li>
 	<li>Customisable</li>
</ul>
Style: P31912KP18GG",,publish,,18,"2022-01-21 14:51:52",2,closed,P31912KP18GG,,,no,no,,500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/01/P31912KP18GG-水瓶座.jpg ! alt : Aquarius zodiac necklace diamond rose gold green garnet ! title : P31912KP18GG Aquarius zodiac necklace diamond rose gold green garnet ! desc :  ! caption :  | https://eji.com.hk/wp-content/uploads/2022/01/P31912KP18GG-水瓶座-scale.jpg ! alt : Aquarius zodiac necklace diamond rose gold green garnet scale ! title : P31912KP18GGAquarius zodiac necklace diamond rose gold green garnet-scale ! desc :  ! caption : ",,https://eji.com.hk/product/aquarius-necklace-in-18k-rose-gold-in-diamond-and-green-garnet/,simple,,"Necklaces & Pendants > Diamond Necklaces|Necklaces & Pendants > Gemstone Necklaces|Necklaces & Pendants",zodiac,,"Diamond|Green garnet",0|1|0,,"Rose Gold",2|1|0,,"14k 585|18k 750",1|1|0,,,,,,,
"Capricorn Necklace in 18K Rose Gold in Diamond and Green Garnet",capricorn-necklace-in-18k-rose-gold-in-diamond-and-green-garnet,,26771,"Capricorn Necklace from the Zodiac Collection
<ul>
 	<li>750 gold</li>
 	<li>Diamond</li>
 	<li>Green garnet</li>
 	<li>Customisable</li>
</ul>
Style: P31911KP18GG",,publish,,45,"2022-01-21 12:30:46",2,closed,P31911KP18GG,,,no,no,,500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/01/P31911KP18GG-摩羯座.jpg ! alt : Capricorn necklace zodiac gold in 18k rose gold diamond green garnet ! title : P31911KP18GG 摩羯座 ! desc :  ! caption :  | https://eji.com.hk/wp-content/uploads/2022/01/P31911KP18GG-摩羯座-scale-1.jpg ! alt : Capricorn necklace zodiac gold in 18k rose gold diamond green garnet ! title : P31911KP18GG Capricorn necklace zodiac gold in 18k rose gold diamond green garnet-scale ! desc :  ! caption : ",,https://eji.com.hk/product/capricorn-necklace-in-18k-rose-gold-in-diamond-and-green-garnet/,simple,,"Necklaces & Pendants > Diamond Necklaces|Necklaces & Pendants > Gemstone Necklaces|Necklaces & Pendants",zodiac,,"Diamond|Green garnet",0|1|0,,"Rose Gold",2|1|0,,"14k 585|18k 750",1|1|0,,,,,,,
"Sagittarius Necklace in 18K Rose Gold in Diamond and Ruby",sagittarius-necklace-in-18k-rose-gold-in-diamond-and-ruby,,26772,"Sagittarius Necklace from the Zodiac Collection
<ul>
 	<li>750 gold</li>
 	<li>Diamond</li>
 	<li>Ruby</li>
 	<li>Customisable</li>
</ul>
Style: P31910KP18RB",,publish,,346,"2022-01-21 12:33:57",2,closed,P31910KP18RB,,,no,no,,500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/01/P31910KP18RB-射手座.jpg ! alt : Sagittarius necklace in 18k rose gold with diamond pink sapphire ! title : P31910KP18RB Sagittarius necklace in 18k rose gold with diamond pink sapphire ! desc :  ! caption :  | https://eji.com.hk/wp-content/uploads/2022/01/P31910KP18RB-射手座-scale.jpg ! alt : Sagittarius necklace in 18k rose gold with diamond pink sapphire scale ! title : P31910KP18RB Sagittarius necklace in 18k rose gold with diamond pink sapphire ! desc :  ! caption : ",,https://eji.com.hk/product/sagittarius-necklace-in-18k-rose-gold-in-diamond-and-ruby/,simple,,"Necklaces & Pendants > Diamond Necklaces|Necklaces & Pendants > Gemstone Necklaces|Necklaces & Pendants",zodiac,,Diamond|Ruby,0|1|0,,"Rose Gold",2|1|0,,"14k 585|18k 750",1|1|0,,,,,,,
"Pisces Necklace in 18K Rose Gold in Diamond and Sapphire",pisces-necklace-in-18k-rose-gold-in-diamond-and-sapphire,,26775,"Pisces Necklace from the Zodiac Collection
<ul>
 	<li>750 gold</li>
 	<li>Diamond</li>
 	<li>Sapphire</li>
 	<li>Customisable</li>
</ul>
Style: P31913KP18SA001",,publish,,316,"2022-01-21 14:07:42",2,closed,P31913KP18SA001,,,no,no,,500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/01/P31913KP18SA001.jpg ! alt : Pisces necklace in 18k rose gold diamond sapphire ! title : P31913KP18SA001 Pisces necklace ! desc :  ! caption :  | https://eji.com.hk/wp-content/uploads/2022/01/P31913KP18SA001-scale.jpg ! alt : Pisces necklace in 18k rose gold diamond sapphire ! title : P31913KP18SA001 pisces necklace zodiac ! desc :  ! caption : ",,https://eji.com.hk/product/pisces-necklace-in-18k-rose-gold-in-diamond-and-sapphire/,simple,,"Necklaces & Pendants > Diamond Necklaces|Necklaces & Pendants > Gemstone Necklaces|Necklaces & Pendants",zodiac,,Diamond|Sapphire,0|1|0,,"Rose Gold",2|1|0,,"14k 585|18k 750",1|1|0,,,,,,,
"Scorpio Necklace in 18K Rose Gold with Diamond and Sapphire",scorpio-necklace-in-18k-rose-gold-diamond-sapphire,,26777,"Scorpio Necklace from the Zodiac Collection
<ul>
 	<li>750 gold</li>
 	<li>Diamond</li>
 	<li>Sapphire</li>
 	<li>Customisable</li>
</ul>
Style: P31909KP18SA",,publish,,351,"2022-01-21 14:14:05",2,closed,P31909KP18SA,,,no,no,,500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/01/P31909KP18SA-天蝎座.jpg ! alt : Scorpio necklace in 18k rose gold diamond sapphire ! title : P31909KP18SA Scorpio necklace in 18k rose gold diamond sapphire ! desc :  ! caption :  | https://eji.com.hk/wp-content/uploads/2022/01/P31909KP18SA-天蝎座-scale.jpg ! alt : Scorpio Necklace in 18K Rose Gold with Diamond and Sapphire scale ! title : P31909KP18SA Scorpio Necklace in 18K Rose Gold with Diamond and Sapphire scale ! desc :  ! caption : ",,https://eji.com.hk/product/scorpio-necklace-in-18k-rose-gold-diamond-sapphire/,simple,,"Necklaces & Pendants > Diamond Necklaces|Necklaces & Pendants > Gemstone Necklaces|Necklaces & Pendants",zodiac,,Diamond|Sapphire,0|1|0,,"Rose Gold",2|1|0,,"14k 585|18k 750",1|1|0,,,,,,,
"Libra Necklace in 18K Rose Gold with Diamond and Fancy Sapphire",libra-necklace-in-18k-rose-gold-with-diamond-and-fancy-sapphire,,26779,"Scorpio Necklace from the Zodiac Collection
<ul>
 	<li>750 gold</li>
 	<li>Diamond</li>
 	<li>Sapphire</li>
 	<li>Customisable</li>
</ul>
Style: P31908KP18SP",,publish,,239,"2022-01-21 14:20:28",2,closed,P31908KP18SP,,,no,no,,500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/01/P31908KP18SP-天秤座.jpg ! alt : libra necklace in 18k rose gold diamond and fancy sapphire ! title : P31908KP18SP libra necklace in 18k rose gold diamond and fancy sapphire ! desc :  ! caption :  | https://eji.com.hk/wp-content/uploads/2022/01/P31908KP18SP-天秤座-scale.jpg ! alt : libra necklace in 18k rose gold diamond and fancy sapphire ! title : P31908KP18SP libra necklace in 18k rose gold diamond and fancy sapphire-scale ! desc :  ! caption : ",,https://eji.com.hk/product/libra-necklace-in-18k-rose-gold-with-diamond-and-fancy-sapphire/,simple,,"Necklaces & Pendants > Diamond Necklaces|Necklaces & Pendants > Gemstone Necklaces|Necklaces & Pendants",zodiac,,Diamond|Sapphire,0|1|0,,"Rose Gold",2|1|0,,"14k 585|18k 750",1|1|0,,,,,,,
"Virgo Necklace in 18K Rose Gold with Diamond and Green Garnet",virgo-necklace-in-18k-rose-gold-with-diamond-and-green-garnet,,26781,"Virgo Necklace from the Zodiac Collection
<ul>
 	<li>750 gold</li>
 	<li>Diamond</li>
 	<li>Green garnet</li>
 	<li>Customisable</li>
</ul>
Style: P31907KP18GG",,publish,,426,"2022-01-21 14:23:57",2,closed,P31907KP18GG,,,no,no,,500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/01/P31907KP18GG-处女座.jpg ! alt : Virgo necklace in 18k rose gold diamond green garnet ! title : P31907KP18GG Virgo necklace in 18k rose gold diamond green garnet ! desc :  ! caption :  | https://eji.com.hk/wp-content/uploads/2022/01/P31907KP18GG-处女座-scale.jpg ! alt : Virgo necklace in 18k rose gold diamond green garnet ! title : P31907KP18GG Virgo necklace in 18k rose gold diamond green garnet-scale ! desc :  ! caption : ",,https://eji.com.hk/product/virgo-necklace-in-18k-rose-gold-with-diamond-and-green-garnet/,simple,,"Necklaces & Pendants > Diamond Necklaces|Necklaces & Pendants > Gemstone Necklaces|Necklaces & Pendants",zodiac,,"Diamond|Green garnet",0|1|0,,"Rose Gold",2|1|0,,"14k 585|18k 750",1|1|0,,,,,,,
"Leo Necklace in 18K Rose Gold with Diamond and Ruby",leo-necklace-in-18k-rose-gold-with-diamond-and-ruby,,26783,"Leo Necklace from the Zodiac Collection
<ul>
 	<li>750 gold</li>
 	<li>Diamond</li>
 	<li>Ruby</li>
 	<li>Customisable</li>
</ul>
Style: P31906KP18RB",,publish,,238,"2022-01-21 14:29:04",2,closed,P31906KP18RB,,,no,no,,500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/01/P31906KP18RB-狮子座.jpg ! alt : Leo zodiac necklace in 18k rose gold diamond ruby ! title : P31906KP18RB Leo zodiac necklace in 18k rose gold diamond ruby ! desc :  ! caption :  | https://eji.com.hk/wp-content/uploads/2022/01/P31906KP18RB-狮子座-scale.jpg ! alt : Leo zodiac necklace in 18k rose gold diamond ruby ! title : P31906KP18RB Leo zodiac necklace in 18k rose gold diamond ruby-scale ! desc :  ! caption : ",,https://eji.com.hk/product/leo-necklace-in-18k-rose-gold-with-diamond-and-ruby/,simple,,"Necklaces & Pendants > Diamond Necklaces|Necklaces & Pendants > Gemstone Necklaces|Necklaces & Pendants",zodiac,,Diamond|Ruby,0|1|0,,"Rose Gold",2|1|0,,"14k 585|18k 750",1|1|0,,,,,,,
